Data Set 1:Time(s),Data Set 1:Gate State,Data Set 1:Distance(m),Data Set 1:Velocity(m/s),Data Set 1:Acceleration(m/s²),Data Set 2:Time(s),Data Set 2:Gate State,Data Set 2:Distance(m),Data Set 2:Velocity(m/s),Data Set 2:Acceleration(m/s²)
0,0,0,,,0,0,0,,
0.04845,1,,,,5.08321,1,,,
0.07272,0,0.015,0.312,2.9,5.2919,0,0.015,0.054,0.02
0.09666,1,,,,5.45837,1,,,
0.1132,0,0.03,0.429,2.88,5.55556,0,0.03,0.082,0.19
0.13143,1,,,,5.6484,1,,,
0.14481,0,0.045,0.52,2.91,5.70964,0,0.045,0.117,0.25
0.16014,1,,,,5.77748,1,,,
0.17163,0,0.06,0.599,2.92,5.82388,0,0.06,0.15,0.33
0.18511,1,,,,5.8769,1,,,
0.19531,0,0.075,0.668,2.9,5.91469,0,0.075,0.184,0.41
0.2075,1,,,,5.95845,1,,,
0.21679,0,0.09,0.73,2.96,5.98998,0,0.09,0.219,0.53
0.22794,1,,,,6.02623,1,,,
0.23653,0,0.105,0.788,2.84,6.05355,0,0.105,0.251,0.47
0.2469,1,,,,6.08572,1,,,
0.25496,0,0.12,0.841,2.95,6.11026,0,0.12,0.285,0.71
0.26468,1,,,,6.13872,1,,,
0.27228,0,0.135,0.891,2.81,6.15991,0,0.135,0.321,0.78
0.28149,1,,,,6.18488,1,,,
0.28869,0,0.15,0.937,2.79,6.20419,0,0.15,0.357,0.81
0.29744,1,,,,6.22693,1,,,
0.30434,0,0.165,0.981,2.83,6.24443,0,0.165,0.391,0.89
0.31269,1,,,,6.2652,1,,,
0.31931,0,0.18,1.024,2.91,6.28127,0,0.18,0.428,1.14
0.32733,1,,,,6.30025,1,,,
0.33367,0,0.195,1.066,3.01,6.31482,0,0.195,0.467,1.16
0.34138,1,,,,6.33222,1,,,
0.34747,0,0.21,,,6.34576,0,0.21,,
0.35493,1,,,,6.3622,1,,,